Iter	Interp		Mover		Total
1	0.000003	0.000002	0.000005
2	0.000002	0.000002	0.000005
3	0.000002	0.000002	0.000005
4	0.000003	0.000002	0.000005
5	0.000003	0.000002	0.000005
6	0.000002	0.000002	0.000005
7	0.000003	0.000002	0.000005
8	0.000003	0.000002	0.000005
9	0.000013	0.000002	0.000015
10	0.000002	0.000002	0.000004
Iter	Interp		Mover		Total
1	0.000270	0.000226	0.000496
2	0.000251	0.000232	0.000483
3	0.000263	0.000217	0.000479
4	0.000265	0.000216	0.000481
5	0.000251	0.000239	0.000490
6	0.000251	0.000217	0.000468
7	0.000265	0.000216	0.000481
8	0.000254	0.000216	0.000470
9	0.000251	0.000244	0.000495
10	0.000251	0.000216	0.000467
Iter	Interp		Mover		Total
1	0.025200	0.021266	0.046466
2	0.025175	0.021158	0.046333
3	0.025155	0.021321	0.046475
4	0.025115	0.021181	0.046296
5	0.025280	0.021207	0.046487
6	0.025144	0.021149	0.046293
7	0.025219	0.021163	0.046382
8	0.025116	0.021214	0.046330
9	0.025285	0.021252	0.046537
10	0.025137	0.021222	0.046359
Iter	Interp		Mover		Total
1	2.072089	1.737658	3.809747
2	2.062105	1.729362	3.791467
3	2.061867	1.729386	3.791253
4	2.061753	1.728998	3.790751
5	2.061880	1.730276	3.792156
6	2.061355	1.729269	3.790624
7	2.061192	1.728817	3.790008
8	2.061857	1.728869	3.790726
9	2.061590	1.728659	3.790248
10	2.061496	1.729144	3.790640
