Iter	Interp		Mover		Total
1	0.000003	0.000002	0.000005
2	0.000002	0.000002	0.000005
3	0.000002	0.000002	0.000005
4	0.000002	0.000002	0.000005
5	0.000002	0.000002	0.000005
6	0.000002	0.000002	0.000005
7	0.000002	0.000002	0.000005
8	0.000002	0.000002	0.000005
9	0.000002	0.000002	0.000005
10	0.000002	0.000002	0.000005
Iter	Interp		Mover		Total
1	0.000238	0.000211	0.000450
2	0.000277	0.000212	0.000489
3	0.000241	0.000212	0.000453
4	0.000238	0.000211	0.000449
5	0.000237	0.000210	0.000447
6	0.000251	0.000240	0.000491
7	0.000230	0.000204	0.000434
8	0.000228	0.000204	0.000432
9	0.000229	0.000205	0.000434
10	0.000230	0.000204	0.000434
Iter	Interp		Mover		Total
1	0.023186	0.020832	0.044018
2	0.023177	0.020914	0.044091
3	0.023380	0.020599	0.043978
4	0.023093	0.020735	0.043828
5	0.023112	0.020555	0.043667
6	0.023195	0.021218	0.044413
7	0.024446	0.020971	0.045417
8	0.023113	0.020534	0.043648
9	0.024065	0.020820	0.044885
10	0.023112	0.020548	0.043660
Iter	Interp		Mover		Total
1	2.415229	2.119022	4.534251
2	2.365368	2.114172	4.479540
3	2.347628	2.201945	4.549573
4	2.346697	2.107666	4.454364
5	2.324091	2.110619	4.434710
6	2.326801	2.110081	4.436882
7	2.324496	2.107964	4.432460
8	2.336319	2.144122	4.480441
9	2.296817	2.147188	4.444005
10	2.408321	2.181763	4.590084
