Iter	Interp		Mover		Total
1	0.000001	0.000002	0.000003
2	0.000001	0.000002	0.000003
3	0.000001	0.000002	0.000003
4	0.000000	0.000002	0.000003
5	0.000001	0.000002	0.000003
6	0.000001	0.000002	0.000003
7	0.000000	0.000002	0.000003
8	0.000001	0.000002	0.000003
9	0.000000	0.000002	0.000003
10	0.000001	0.000002	0.000003
Iter	Interp		Mover		Total
1	0.000049	0.000236	0.000286
2	0.000044	0.000239	0.000283
3	0.000045	0.000235	0.000280
4	0.000044	0.000245	0.000288
5	0.000047	0.000236	0.000284
6	0.000042	0.000237	0.000280
7	0.000042	0.000237	0.000279
8	0.000041	0.000226	0.000267
9	0.000040	0.000232	0.000272
10	0.000041	0.000228	0.000269
Iter	Interp		Mover		Total
1	0.004417	0.023955	0.028371
2	0.004355	0.023788	0.028144
3	0.004382	0.023776	0.028158
4	0.004355	0.023776	0.028131
5	0.004348	0.023800	0.028148
6	0.004351	0.023797	0.028148
7	0.004389	0.024161	0.028550
8	0.004368	0.023896	0.028264
9	0.004375	0.023789	0.028164
10	0.004376	0.023803	0.028179
Iter	Interp		Mover		Total
1	0.437441	2.555821	2.993262
2	0.449781	2.630807	3.080588
3	0.462003	2.599455	3.061458
4	0.437527	2.582110	3.019637
5	0.476412	2.595211	3.071622
6	0.437031	2.613447	3.050479
7	0.435619	2.572686	3.008306
8	0.461569	2.598326	3.059896
9	0.437353	2.556900	2.994253
10	0.434694	2.564068	2.998762
