Iter	Interp		Mover		Total
1	0.000001	0.000003	0.000004
2	0.000001	0.000003	0.000003
3	0.000001	0.000003	0.000004
4	0.000001	0.000003	0.000004
5	0.000001	0.000003	0.000004
6	0.000001	0.000002	0.000003
7	0.000001	0.000003	0.000004
8	0.000001	0.000003	0.000004
9	0.000001	0.000003	0.000004
10	0.000001	0.000003	0.000004
Iter	Interp		Mover		Total
1	0.000103	0.000237	0.000340
2	0.000078	0.000237	0.000315
3	0.000072	0.000237	0.000309
4	0.000072	0.000238	0.000311
5	0.000073	0.000237	0.000310
6	0.000072	0.000237	0.000309
7	0.000073	0.000246	0.000319
8	0.000073	0.000237	0.000310
9	0.000073	0.000236	0.000310
10	0.000073	0.000243	0.000316
Iter	Interp		Mover		Total
1	0.008037	0.024585	0.032622
2	0.007578	0.023858	0.031436
3	0.007509	0.023645	0.031154
4	0.007531	0.023638	0.031169
5	0.007559	0.023686	0.031245
6	0.007750	0.023669	0.031418
7	0.007561	0.023661	0.031222
8	0.007562	0.023871	0.031433
9	0.007638	0.023821	0.031459
10	0.007605	0.023950	0.031555
Iter	Interp		Mover		Total
1	0.768016	2.440897	3.208912
2	0.780157	2.489934	3.270091
3	0.776800	2.459231	3.236032
4	0.756672	2.471330	3.228001
5	0.783170	2.479211	3.262381
6	0.759224	2.441605	3.200829
7	0.750991	2.391628	3.142619
8	0.760360	2.457706	3.218066
9	0.758390	2.414387	3.172777
10	0.757266	2.417587	3.174852
