ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000038975,0.000000251
4,0.000001225,0.000000244
8,0.000003031,0.000000681
16,0.000013622,0.000003413
32,0.000054303,0.000023343
64,0.000324299,0.000200939
128,0.002207074,0.001711201
256,0.015484257,0.013506301
512,0.096328769,0.088907719
1024,0.679559525,0.652194946
2048,7.813540292,7.708230859
4096,60.946811229,60.525260771
