ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000038689,0.000000306
4,0.000001342,0.000000317
8,0.000003130,0.000000829
16,0.000015062,0.000005313
32,0.000069121,0.000038870
64,0.000457267,0.000334460
128,0.002998777,0.002502241
256,0.021071344,0.019114781
512,0.141163814,0.133996304
1024,1.055306444,1.028482504
2048,8.668868124,8.563865565
4096,69.210642362,68.789265510
