ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000042574,0.000000261
4,0.000001251,0.000000262
8,0.000003019,0.000000644
16,0.000013204,0.000003441
32,0.000055707,0.000023565
64,0.000329870,0.000205215
128,0.002255137,0.001767048
256,0.014667006,0.012658097
512,0.090537563,0.083029308
1024,0.635117961,0.608124711
2048,7.009805849,6.904743862
4096,56.468218109,56.048070942
