ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000038066,0.000000154
4,0.000001164,0.000000207
8,0.000002911,0.000000582
16,0.000015318,0.000003617
32,0.000059405,0.000028113
64,0.000390777,0.000267231
128,0.002904422,0.002416990
256,0.022145518,0.020130040
512,0.168068725,0.160722251
1024,1.586616648,1.559629369
2048,100.478411982,100.374548956
4096,518.674484449,518.251396212
