ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000000965,0.000000245
4,0.000000876,0.000000280
8,0.000003231,0.000000516
16,0.000010510,0.000002874
32,0.000041830,0.000009569
64,0.000204368,0.000082405
128,0.001162424,0.000681337
256,0.008216838,0.006238403
512,0.062861935,0.055043049
1024,0.491818829,0.459744999
2048,4.698370106,4.576794267
4096,40.556917222,40.064373540
