ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000000834,0.000000064
4,0.000000680,0.000000114
8,0.000002013,0.000000243
16,0.000008885,0.000000924
32,0.000034147,0.000005304
64,0.000156042,0.000041387
128,0.000808369,0.000341363
256,0.004884720,0.002984241
512,0.032696364,0.025009942
1024,0.230366644,0.200408706
2048,3.795610544,3.677406679
4096,34.585243230,34.106900395
