ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000000790,0.000000075
4,0.000000681,0.000000116
8,0.000002069,0.000000278
16,0.000009232,0.000001318
32,0.000039006,0.000009969
64,0.000212607,0.000080699
128,0.001221246,0.000762312
256,0.010614238,0.008632921
512,0.085592361,0.077724571
1024,0.935022198,0.905018648
2048,12.863604676,12.744111540
4096,176.957396002,176.478617465
