ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000000851,0.000000083
4,0.000000698,0.000000119
8,0.000002098,0.000000292
16,0.000009451,0.000001379
32,0.000040468,0.000010431
64,0.000207305,0.000078854
128,0.001123111,0.000653217
256,0.006770345,0.004825162
512,0.047182501,0.039462516
1024,0.340594606,0.310127147
2048,4.368362260,4.248420602
4096,31.994379287,31.514490947
